Collection,Skill Name,Skill Category,Contextualized Skill Statement,Keywords,BLS Major Group,BLS Minor Group,BLS Broad Occupation,BLS Detailed Occupation,O*NET Job Role,Professional Standards,Certifications,Alignment Title,Alignment
,Data and Data Store Access,.NET Framework,Access data and data stores using the .NET Framework.,.NET Framework; ADO.NET; Language Integrated Query (LINQ); WCF Data Services; XML,15-0000,15-1200,15-1220; 15-1250; 15-1290,15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-1221; 15-1299,,,,.NET Framework,https://skills.emsidata.com/skills/KS1200B62W5ZF38RJ7TD
,Large-Scale Web Application Build,.NET Framework,Build large-scale web applications using the .NET Framework with minimum coding.,.NET Framework; Windows Communication Foundation (WCF),15-0000,15-1200,15-1220; 15-1250,15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-1221,,,,.NET Framework,https://skills.emsidata.com/skills/KS1200B62W5ZF38RJ7TD
